ID	red	green	blue	https://www.ral-farben.de/out/ralfarben/img/thumbs/{file}.png	
RAL 110-1	230	231	230	ral-effect-1	
RAL 110-2	222	221	213	ral-effect-2	
RAL 110-3	200	198	190	ral-effect-3	
RAL 110-4	198	199	196	ral-effect-4	
RAL 110-5	201	204	198	ral-effect-5	
RAL 110-6	200	200	199	ral-effect-6	
RAL 110-M	160	162	164	ral-effect-7	
RAL 120-1	237	237	234	ral-effect-8	
RAL 120-2	242	241	236	ral-effect-9	
RAL 120-3	240	238	229	ral-effect-10	
RAL 120-4	233	225	212	ral-effect-11	
RAL 120-5	226	217	198	ral-effect-12	
RAL 120-6	234	225	206	ral-effect-13	
RAL 120-M	143	141	135	ral-effect-14	
RAL 130-1	242	237	187	ral-effect-15	
RAL 130-2	241	238	195	ral-effect-16	
RAL 130-3	240	238	205	ral-effect-17	
RAL 130-4	248	240	207	ral-effect-18	
RAL 130-5	237	228	188	ral-effect-19	
RAL 130-6	251	229	176	ral-effect-20	
RAL 130-M	171	171	144	ral-effect-21	
RAL 140-1	250	211	169	ral-effect-22	
RAL 140-2	254	218	166	ral-effect-23	
RAL 140-3	254	227	193	ral-effect-24	
RAL 140-4	253	223	190	ral-effect-25	
RAL 140-5	248	228	200	ral-effect-26	
RAL 140-6	229	210	182	ral-effect-27	
RAL 140-M	176	158	126	ral-effect-28	
RAL 150-1	247	239	233	ral-effect-29	
RAL 150-2	249	235	227	ral-effect-30	
RAL 150-3	238	225	215	ral-effect-31	
RAL 150-4	251	227	212	ral-effect-32	
RAL 150-5	250	232	220	ral-effect-33	
RAL 150-6	248	223	215	ral-effect-34	
RAL 150-M	171	151	138	ral-effect-35	
RAL 160-1	227	225	236	ral-effect-36	
RAL 160-2	231	226	232	ral-effect-37	
RAL 160-3	237	232	232	ral-effect-38	
RAL 160-4	238	225	226	ral-effect-39	
RAL 160-5	239	228	224	ral-effect-40	
RAL 160-6	236	228	233	ral-effect-41	
RAL 160-M	173	166	181	ral-effect-42	
RAL 170-1	199	201	208	ral-effect-43	
RAL 170-2	166	173	189	ral-effect-44	
RAL 170-3	186	200	218	ral-effect-45	
RAL 170-4	206	219	236	ral-effect-46	
RAL 170-5	195	198	214	ral-effect-47	
RAL 170-6	198	197	214	ral-effect-48	
RAL 170-M	167	168	185	ral-effect-49	
RAL 180-1	174	188	198	ral-effect-50	
RAL 180-2	185	205	221	ral-effect-51	
RAL 180-3	199	219	235	ral-effect-52	
RAL 180-4	201	225	236	ral-effect-53	
RAL 180-5	199	221	225	ral-effect-54	
RAL 180-6	219	233	235	ral-effect-55	
RAL 180-M	150	164	169	ral-effect-56	
RAL 190-1	165	218	223	ral-effect-57	
RAL 190-2	185	230	242	ral-effect-58	
RAL 190-3	192	222	225	ral-effect-59	
RAL 190-4	189	218	215	ral-effect-60	
RAL 190-5	212	229	231	ral-effect-61	
RAL 190-6	163	193	191	ral-effect-62	
RAL 190-M	146	180	178	ral-effect-63	
RAL 210-1	207	198	178	ral-effect-64	
RAL 210-2	236	231	210	ral-effect-65	
RAL 210-3	227	228	217	ral-effect-66	
RAL 210-4	214	230	227	ral-effect-67	
RAL 210-5	216	232	224	ral-effect-68	
RAL 210-6	216	233	214	ral-effect-69	
RAL 210-M	165	169	155	ral-effect-70	
RAL 220-1	102	184	114	ral-effect-71	
RAL 220-2	 51	154	 81	ral-effect-72	
RAL 220-3	  0	111	 60	ral-effect-73	
RAL 220-4	  8	133	 84	ral-effect-74	
RAL 220-5	 38	126	 81	ral-effect-75	
RAL 220-6	  0	106	 77	ral-effect-76	
RAL 220-M	  0	127	 62	ral-effect-77	
RAL 230-1	187	219	154	ral-effect-78	
RAL 230-2	150	200	108	ral-effect-79	
RAL 230-3	125	179	 68	ral-effect-80	
RAL 230-4	 95	151	 58	ral-effect-81	
RAL 230-5	 57	105	 56	ral-effect-82	
RAL 230-6	 54	 92	 48	ral-effect-83	
RAL 230-M	 98	167	 78	ral-effect-84	
RAL 240-1	220	214	145	ral-effect-85	
RAL 240-2	170	175	102	ral-effect-86	
RAL 240-3	147	151	 85	ral-effect-87	
RAL 240-4	126	126	 66	ral-effect-88	
RAL 240-5	 93	109	 60	ral-effect-89	
RAL 240-6	 79	109	 53	ral-effect-90	
RAL 240-M	 98	116	 57	ral-effect-91	
RAL 250-1	238	230	165	ral-effect-92	
RAL 250-2	232	222	111	ral-effect-93	
RAL 250-3	191	183	  0	ral-effect-94	
RAL 250-4	164	165	 65	ral-effect-95	
RAL 250-5	145	145	 56	ral-effect-96	
RAL 250-6	105	101	 44	ral-effect-97	
RAL 250-M	174	167	 59	ral-effect-98	
RAL 260-1	243	233	180	ral-effect-99	
RAL 260-2	241	228	131	ral-effect-100	
RAL 260-3	243	212	 70	ral-effect-101	
RAL 260-4	232	192	 31	ral-effect-102	
RAL 260-5	222	176	 45	ral-effect-103	
RAL 260-6	239	180	 22	ral-effect-104	
RAL 260-M	184	148	 79	ral-effect-105	
RAL 270-1	255	222	131	ral-effect-106	
RAL 270-2	250	204	 57	ral-effect-107	
RAL 270-3	244	189	 22	ral-effect-108	
RAL 270-4	235	177	  0	ral-effect-109	
RAL 270-5	246	182	  0	ral-effect-110	
RAL 270-6	254	196	 63	ral-effect-111	
RAL 270-M	203	148	 55	ral-effect-112	
RAL 280-1	253	225	147	ral-effect-113	
RAL 280-2	240	211	145	ral-effect-114	
RAL 280-3	225	190	120	ral-effect-115	
RAL 280-4	214	174	 95	ral-effect-116	
RAL 280-5	220	161	 64	ral-effect-117	
RAL 280-6	208	151	 60	ral-effect-118	
RAL 280-M	178	135	 64	ral-effect-119	
RAL 290-1	216	155	 80	ral-effect-120	
RAL 290-2	191	133	 59	ral-effect-121	
RAL 290-3	216	169	 96	ral-effect-122	
RAL 290-4	204	146	 27	ral-effect-123	
RAL 290-5	230	176	 62	ral-effect-124	
RAL 290-6	252	171	  4	ral-effect-125	
RAL 290-M	184	126	 50	ral-effect-126	
RAL 310-1	245	214	180	ral-effect-127	
RAL 310-2	235	194	151	ral-effect-128	
RAL 310-3	223	171	115	ral-effect-129	
RAL 310-4	208	147	 85	ral-effect-130	
RAL 310-5	186	124	 67	ral-effect-131	
RAL 310-6	142	 91	 45	ral-effect-132	
RAL 310-M	184	125	 79	ral-effect-133	
RAL 320-1	210	169	108	ral-effect-134	
RAL 320-2	174	129	 81	ral-effect-135	
RAL 320-3	185	134	 76	ral-effect-136	
RAL 320-4	160	103	 53	ral-effect-137	
RAL 320-5	127	 78	 46	ral-effect-138	
RAL 320-6	110	 68	 40	ral-effect-139	
RAL 320-M	185	115	 30	ral-effect-140	
RAL 330-1	168	104	 89	ral-effect-141	
RAL 330-2	142	 75	 53	ral-effect-142	
RAL 330-3	121	 78	 62	ral-effect-143	
RAL 330-4	 92	 59	 45	ral-effect-144	
RAL 330-5	 80	 49	 42	ral-effect-145	
RAL 330-6	 70	 50	 46	ral-effect-146	
RAL 330-M	139	 89	 67	ral-effect-147	
RAL 340-1	190	164	169	ral-effect-148	
RAL 340-2	164	140	146	ral-effect-149	
RAL 340-3	127	 84	 82	ral-effect-150	
RAL 340-4	104	 61	 64	ral-effect-151	
RAL 340-5	 79	 42	 45	ral-effect-152	
RAL 340-6	 79	 43	 49	ral-effect-153	
RAL 340-M	 83	 53	 59	ral-effect-154	
RAL 350-1	157	 49	 31	ral-effect-155	
RAL 350-2	167	 63	 50	ral-effect-156	
RAL 350-3	162	 71	 51	ral-effect-157	
RAL 350-4	129	 48	 33	ral-effect-158	
RAL 350-5	120	 49	 34	ral-effect-159	
RAL 350-6	102	 50	 43	ral-effect-160	
RAL 350-M	 88	 47	 42	ral-effect-161	
RAL 360-1	224	125	 41	ral-effect-162	
RAL 360-2	217	117	 30	ral-effect-163	
RAL 360-3	198	 98	 23	ral-effect-164	
RAL 360-4	183	 86	 41	ral-effect-165	
RAL 360-5	154	 79	 44	ral-effect-166	
RAL 360-6	145	 80	 51	ral-effect-167	
RAL 360-M	164	 86	 51	ral-effect-168	
RAL 370-1	255	174	 71	ral-effect-169	
RAL 370-2	255	155	 56	ral-effect-170	
RAL 370-3	255	144	 29	ral-effect-171	
RAL 370-4	230	131	 22	ral-effect-172	
RAL 370-5	212	120	 31	ral-effect-173	
RAL 370-6	205	108	 16	ral-effect-174	
RAL 370-M	180	122	 60	ral-effect-175	
RAL 380-1	255	155	 41	ral-effect-176	
RAL 380-2	255	146	  4	ral-effect-177	
RAL 380-3	250	132	 26	ral-effect-178	
RAL 380-4	226	113	 33	ral-effect-179	
RAL 380-5	242	120	 47	ral-effect-180	
RAL 380-6	234	106	 36	ral-effect-181	
RAL 380-M	167	 85	 42	ral-effect-182	
RAL 390-1	235	119	 63	ral-effect-183	
RAL 390-2	227	 97	 37	ral-effect-184	
RAL 390-3	222	 84	 17	ral-effect-185	
RAL 390-4	216	 81	 28	ral-effect-186	
RAL 390-5	216	 72	 15	ral-effect-187	
RAL 390-6	205	 94	 42	ral-effect-188	
RAL 390-M	191	 99	 59	ral-effect-189	
RAL 410-1	237	129	101	ral-effect-190	
RAL 410-2	234	115	 79	ral-effect-191	
RAL 410-3	228	100	 64	ral-effect-192	
RAL 410-4	220	 93	 56	ral-effect-193	
RAL 410-5	210	 85	 53	ral-effect-194	
RAL 410-6	208	 93	 66	ral-effect-195	
RAL 410-M	171	 73	 36	ral-effect-196	
RAL 420-1	237	174	154	ral-effect-197	
RAL 420-2	242	157	134	ral-effect-198	
RAL 420-3	233	138	108	ral-effect-199	
RAL 420-4	228	100	 67	ral-effect-200	
RAL 420-5	204	 87	 56	ral-effect-201	
RAL 420-6	191	 80	 46	ral-effect-202	
RAL 420-M	157	 75	 50	ral-effect-203	
RAL 430-1	242	194	182	ral-effect-204	
RAL 430-2	236	153	139	ral-effect-205	
RAL 430-3	228	128	116	ral-effect-206	
RAL 430-4	221	 90	 76	ral-effect-207	
RAL 430-5	213	 67	 60	ral-effect-208	
RAL 430-6	190	 58	 36	ral-effect-209	
RAL 430-M	168	 76	 69	ral-effect-210	
RAL 440-1	202	 56	 60	ral-effect-211	
RAL 440-2	211	 76	 73	ral-effect-212	
RAL 440-3	186	 60	 62	ral-effect-213	
RAL 440-4	155	 41	 41	ral-effect-214	
RAL 440-5	166	 49	 41	ral-effect-215	
RAL 440-6	185	 53	 37	ral-effect-216	
RAL 440-M	155	 37	 44	ral-effect-217	
RAL 450-1	244	199	202	ral-effect-218	
RAL 450-2	237	165	170	ral-effect-219	
RAL 450-3	224	122	129	ral-effect-220	
RAL 450-4	200	 88	 98	ral-effect-221	
RAL 450-5	178	 49	 47	ral-effect-222	
RAL 450-6	187	 32	 29	ral-effect-223	
RAL 450-M	167	 22	 22	ral-effect-224	
RAL 460-1	239	163	167	ral-effect-225	
RAL 460-2	227	127	137	ral-effect-226	
RAL 460-3	223	 99	104	ral-effect-227	
RAL 460-4	211	 82	 84	ral-effect-228	
RAL 460-5	168	 55	 59	ral-effect-229	
RAL 460-6	139	 27	 40	ral-effect-230	
RAL 460-M	174	 54	 59	ral-effect-231	
RAL 470-1	240	179	193	ral-effect-232	
RAL 470-2	230	139	157	ral-effect-233	
RAL 470-3	222	115	131	ral-effect-234	
RAL 470-4	202	 77	103	ral-effect-235	
RAL 470-5	172	 45	 76	ral-effect-236	
RAL 470-6	156	 34	 63	ral-effect-237	
RAL 470-M	177	 79	 93	ral-effect-238	
RAL 480-1	245	202	201	ral-effect-239	
RAL 480-2	245	192	190	ral-effect-240	
RAL 480-3	238	186	188	ral-effect-241	
RAL 480-4	238	165	177	ral-effect-242	
RAL 480-5	233	144	158	ral-effect-243	
RAL 480-6	218	108	130	ral-effect-244	
RAL 480-M	168	117	121	ral-effect-245	
RAL 490-1	243	207	208	ral-effect-246	
RAL 490-2	247	202	195	ral-effect-247	
RAL 490-3	232	154	146	ral-effect-248	
RAL 490-4	195	123	119	ral-effect-249	
RAL 490-5	190	127	140	ral-effect-250	
RAL 490-6	210	158	168	ral-effect-251	
RAL 490-M	167	125	136	ral-effect-252	
RAL 510-1	236	200	220	ral-effect-253	
RAL 510-2	224	165	203	ral-effect-254	
RAL 510-3	213	132	177	ral-effect-255	
RAL 510-4	196	 99	141	ral-effect-256	
RAL 510-5	186	 72	119	ral-effect-257	
RAL 510-6	154	 59	106	ral-effect-258	
RAL 510-M	140	 61	113	ral-effect-259	
RAL 520-1	239	210	223	ral-effect-260	
RAL 520-2	232	186	210	ral-effect-261	
RAL 520-3	220	165	192	ral-effect-262	
RAL 520-4	186	114	147	ral-effect-263	
RAL 520-5	160	 78	111	ral-effect-264	
RAL 520-6	146	 82	110	ral-effect-265	
RAL 520-M	158	 88	139	ral-effect-266	
RAL 530-1	152	 68	 77	ral-effect-267	
RAL 530-2	143	 63	 78	ral-effect-268	
RAL 530-3	121	 54	 68	ral-effect-269	
RAL 530-4	124	 47	 75	ral-effect-270	
RAL 530-5	102	 37	 61	ral-effect-271	
RAL 530-6	 97	 41	 74	ral-effect-272	
RAL 530-M	 92	 45	 58	ral-effect-273	
RAL 540-1	212	193	215	ral-effect-274	
RAL 540-2	190	161	193	ral-effect-275	
RAL 540-3	128	 95	131	ral-effect-276	
RAL 540-4	150	107	152	ral-effect-277	
RAL 540-5	129	 83	122	ral-effect-278	
RAL 540-6	 86	 44	 81	ral-effect-279	
RAL 540-M	 86	 47	 78	ral-effect-280	
RAL 550-1	224	209	217	ral-effect-281	
RAL 550-2	208	187	201	ral-effect-282	
RAL 550-3	178	146	168	ral-effect-283	
RAL 550-4	156	116	136	ral-effect-284	
RAL 550-5	141	 97	119	ral-effect-285	
RAL 550-6	120	 76	 94	ral-effect-286	
RAL 550-M	167	136	144	ral-effect-287	
RAL 560-1	204	188	199	ral-effect-288	
RAL 560-2	176	156	173	ral-effect-289	
RAL 560-3	140	111	128	ral-effect-290	
RAL 560-4	119	 84	 96	ral-effect-291	
RAL 560-5	133	114	127	ral-effect-292	
RAL 560-6	125	110	127	ral-effect-293	
RAL 560-M	165	146	164	ral-effect-294	
RAL 570-1	209	206	232	ral-effect-295	
RAL 570-2	195	191	225	ral-effect-296	
RAL 570-3	173	173	221	ral-effect-297	
RAL 570-4	155	154	207	ral-effect-298	
RAL 570-5	128	120	179	ral-effect-299	
RAL 570-6	121	104	155	ral-effect-300	
RAL 570-M	107	 88	154	ral-effect-301	
RAL 580-1	194	207	230	ral-effect-302	
RAL 580-2	188	199	224	ral-effect-303	
RAL 580-3	167	178	209	ral-effect-304	
RAL 580-4	105	116	154	ral-effect-305	
RAL 580-5	 65	 80	110	ral-effect-306	
RAL 580-6	 36	 49	 84	ral-effect-307	
RAL 580-M	 99	108	134	ral-effect-308	
RAL 590-1	102	109	155	ral-effect-309	
RAL 590-2	 66	 66	118	ral-effect-310	
RAL 590-3	 42	 54	107	ral-effect-311	
RAL 590-4	 39	 47	 91	ral-effect-312	
RAL 590-5	 20	 45	 88	ral-effect-313	
RAL 590-6	  9	 59	122	ral-effect-314	
RAL 590-M	 41	 56	 98	ral-effect-315	
RAL 610-1	110	143	171	ral-effect-316	
RAL 610-2	 97	122	148	ral-effect-317	
RAL 610-3	109	149	185	ral-effect-318	
RAL 610-4	137	178	216	ral-effect-319	
RAL 610-5	 71	119	174	ral-effect-320	
RAL 610-6	 67	105	153	ral-effect-321	
RAL 610-M	120	151	181	ral-effect-322	
RAL 620-1	 52	104	138	ral-effect-323	
RAL 620-2	 96	146	172	ral-effect-324	
RAL 620-3	100	129	143	ral-effect-325	
RAL 620-4	 58	 90	106	ral-effect-326	
RAL 620-5	 20	 53	 75	ral-effect-327	
RAL 620-6	 30	 45	 63	ral-effect-328	
RAL 620-M	  9	 50	 70	ral-effect-329	
RAL 630-1	 81	163	211	ral-effect-330	
RAL 630-2	 68	107	142	ral-effect-331	
RAL 630-3	 46	 78	111	ral-effect-332	
RAL 630-4	 45	 74	110	ral-effect-333	
RAL 630-5	 31	 52	 84	ral-effect-334	
RAL 630-6	 25	 54	 84	ral-effect-335	
RAL 630-M	 22	 48	 76	ral-effect-336	
RAL 640-1	 73	160	197	ral-effect-337	
RAL 640-2	  0	135	181	ral-effect-338	
RAL 640-3	  0	123	174	ral-effect-339	
RAL 640-4	  0	 92	140	ral-effect-340	
RAL 640-5	  0	 84	138	ral-effect-341	
RAL 640-6	  0	 79	125	ral-effect-342	
RAL 640-M	  0	 78	135	ral-effect-343	
RAL 650-1	100	181	214	ral-effect-344	
RAL 650-2	  0	119	160	ral-effect-345	
RAL 650-3	  0	108	151	ral-effect-346	
RAL 650-4	  0	 85	119	ral-effect-347	
RAL 650-5	 29	 91	120	ral-effect-348	
RAL 650-6	 10	 73	 98	ral-effect-349	
RAL 650-M	  0	113	157	ral-effect-350	
RAL 660-1	  0	148	176	ral-effect-351	
RAL 660-2	 11	141	168	ral-effect-352	
RAL 660-3	 81	165	184	ral-effect-353	
RAL 660-4	 63	184	207	ral-effect-354	
RAL 660-5	108	195	212	ral-effect-355	
RAL 660-6	138	200	213	ral-effect-356	
RAL 660-M	 85	151	169	ral-effect-357	
RAL 670-1	138	211	234	ral-effect-358	
RAL 670-2	151	218	239	ral-effect-359	
RAL 670-3	143	197	214	ral-effect-360	
RAL 670-4	105	187	211	ral-effect-361	
RAL 670-5	 91	185	213	ral-effect-362	
RAL 670-6	 78	194	230	ral-effect-363	
RAL 670-M	116	167	184	ral-effect-364	
RAL 680-1	114	170	186	ral-effect-365	
RAL 680-2	 51	143	164	ral-effect-366	
RAL 680-3	 23	113	133	ral-effect-367	
RAL 680-4	 38	118	141	ral-effect-368	
RAL 680-5	  0	106	133	ral-effect-369	
RAL 680-6	  0	 91	116	ral-effect-370	
RAL 680-M	 14	 69	 92	ral-effect-371	
RAL 690-1	 63	191	203	ral-effect-372	
RAL 690-2	  0	162	173	ral-effect-373	
RAL 690-3	  0	131	142	ral-effect-374	
RAL 690-4	  0	108	123	ral-effect-375	
RAL 690-5	  0	 83	 95	ral-effect-376	
RAL 690-6	  0	 81	 96	ral-effect-377	
RAL 690-M	  0	103	115	ral-effect-378	
RAL 710-1	120	209	205	ral-effect-379	
RAL 710-2	  0	170	167	ral-effect-380	
RAL 710-3	  5	138	139	ral-effect-381	
RAL 710-4	  0	116	118	ral-effect-382	
RAL 710-5	  0	 92	 96	ral-effect-383	
RAL 710-6	 12	 71	 70	ral-effect-384	
RAL 710-M	  0	104	107	ral-effect-385	
RAL 720-1	194	227	222	ral-effect-386	
RAL 720-2	164	226	219	ral-effect-387	
RAL 720-3	134	211	212	ral-effect-388	
RAL 720-4	 88	190	193	ral-effect-389	
RAL 720-5	 51	147	160	ral-effect-390	
RAL 720-6	 25	124	134	ral-effect-391	
RAL 720-M	 26	148	154	ral-effect-392	
RAL 730-1	203	231	226	ral-effect-393	
RAL 730-2	152	211	211	ral-effect-394	
RAL 730-3	125	184	186	ral-effect-395	
RAL 730-4	123	185	180	ral-effect-396	
RAL 730-5	121	172	172	ral-effect-397	
RAL 730-6	 70	135	127	ral-effect-398	
RAL 730-M	 98	162	147	ral-effect-399	
RAL 740-1	197	220	206	ral-effect-400	
RAL 740-2	179	214	201	ral-effect-401	
RAL 740-3	149	195	178	ral-effect-402	
RAL 740-4	 73	133	116	ral-effect-403	
RAL 740-5	  0	111	 91	ral-effect-404	
RAL 740-6	  0	 93	 78	ral-effect-405	
RAL 740-M	 58	111	 95	ral-effect-406	
RAL 750-1	191	215	201	ral-effect-407	
RAL 750-2	143	180	160	ral-effect-408	
RAL 750-3	 61	116	 97	ral-effect-409	
RAL 750-4	 22	 66	 52	ral-effect-410	
RAL 750-5	 51	 84	 73	ral-effect-411	
RAL 750-6	 46	 60	 59	ral-effect-412	
RAL 750-M	 23	 55	 45	ral-effect-413	
RAL 760-1	213	227	202	ral-effect-414	
RAL 760-2	184	205	170	ral-effect-415	
RAL 760-3	176	190	155	ral-effect-416	
RAL 760-4	139	155	122	ral-effect-417	
RAL 760-5	109	126	 92	ral-effect-418	
RAL 760-6	 74	100	 72	ral-effect-419	
RAL 760-M	 51	 75	 46	ral-effect-420	
RAL 770-1	152	157	132	ral-effect-421	
RAL 770-2	169	168	143	ral-effect-422	
RAL 770-3	122	117	 90	ral-effect-423	
RAL 770-4	129	122	102	ral-effect-424	
RAL 770-5	180	175	159	ral-effect-425	
RAL 770-6	126	130	115	ral-effect-426	
RAL 770-M	141	136	100	ral-effect-427	
RAL 780-1	233	222	204	ral-effect-428	
RAL 780-2	231	214	185	ral-effect-429	
RAL 780-3	221	196	154	ral-effect-430	
RAL 780-4	209	177	134	ral-effect-431	
RAL 780-5	163	142	121	ral-effect-432	
RAL 780-6	116	105	 92	ral-effect-433	
RAL 780-M	178	160	116	ral-effect-434	
RAL 790-1	 62	 72	 73	ral-effect-435	
RAL 790-2	 59	 65	 71	ral-effect-436	
RAL 790-3	 49	 53	 56	ral-effect-437	
RAL 790-4	 48	 47	 50	ral-effect-438	
RAL 790-5	 33	 34	 36	ral-effect-439	
RAL 790-6	 33	 35	 45	ral-effect-440	
RAL 790-M	 34	 31	 29	ral-effect-441	
RAL 810-1	151	157	162	ral-effect-442	
RAL 810-2	138	148	153	ral-effect-443	
RAL 810-3	121	136	142	ral-effect-444	
RAL 810-4	 94	107	115	ral-effect-445	
RAL 810-5	 81	 89	 93	ral-effect-446	
RAL 810-6	 57	 65	 70	ral-effect-447	
RAL 810-M	 64	 70	 73	ral-effect-448	
RAL 820-1	197	200	202	ral-effect-449	
RAL 820-2	169	174	178	ral-effect-450	
RAL 820-3	141	147	149	ral-effect-451	
RAL 820-4	125	133	137	ral-effect-452	
RAL 820-5	 80	 85	 92	ral-effect-453	
RAL 820-6	 68	 73	 81	ral-effect-454	
RAL 820-M	146	145	145	ral-effect-455	
RAL 830-1	186	188	186	ral-effect-456	
RAL 830-2	164	167	165	ral-effect-457	
RAL 830-3	141	146	145	ral-effect-458	
RAL 830-4	108	112	109	ral-effect-459	
RAL 830-5	 81	 85	 84	ral-effect-460	
RAL 830-6	 87	 94	 96	ral-effect-461	
RAL 830-M	130	129	127	ral-effect-462	
RAL 840-1	231	227	216	ral-effect-463	
RAL 840-2	215	213	204	ral-effect-464	
RAL 840-3	184	180	168	ral-effect-465	
RAL 840-4	128	128	119	ral-effect-466	
RAL 840-5	 90	 93	 84	ral-effect-467	
RAL 840-6	 71	 65	 53	ral-effect-468	
RAL 840-M	 73	 68	 64	ral-effect-469	
RAL 850-1	195	194	185	ral-effect-470	
RAL 850-2	177	177	170	ral-effect-471	
RAL 850-3	166	166	160	ral-effect-472	
RAL 850-4	145	141	133	ral-effect-473	
RAL 850-5	107	103	 96	ral-effect-474	
RAL 850-6	 76	 75	 70	ral-effect-475	
RAL 850-M	 98	 94	 89	ral-effect-476	
RAL 860-1	216	218	219	ral-effect-477	
RAL 860-2	207	210	213	ral-effect-478	
RAL 860-3	193	194	196	ral-effect-479	
RAL 860-4	154	154	155	ral-effect-480	
RAL 860-5	122	122	121	ral-effect-481	
RAL 860-6	 91	 95	 95	ral-effect-482	
RAL 860-M	164	160	159	ral-effect-483	
RAL 870-1	211	208	208	ral-effect-484	
RAL 870-2	150	147	146	ral-effect-485	
RAL 870-3	 99	 97	100	ral-effect-486	
RAL 870-4	 81	 77	 78	ral-effect-487	
RAL 870-5	 74	 71	 71	ral-effect-488	
RAL 870-6	 61	 55	 55	ral-effect-489	
RAL 870-M	 77	 71	 71	ral-effect-490	
